1	8407
1	2472
1	6246
1	4757
1	5563
1	163
1	5022
1	3587
1	739
1	503
2	8686
3	3812
4	4167
5	3448
6	8318
6	4016
6	2844
6	1955
6	772
6	5932
7	1578
8	3069
9	9542
10	11439
10	8243
10	1434
11	9889
11	9429
12	5405
12	6631
12	8287
12	3770
13	5744
13	9410
13	3702
13	7246
13	7970
13	1158
14	6140
15	7349
16	6587
16	4031
16	10934
16	6228
17	10933
18	9368
18	5360
18	3430
18	420
18	9849
18	9793
18	7922
18	703
19	1492
19	9689
19	2437
19	8089
19	8876
19	2109
20	6941
20	4762
20	581
20	1582
20	6170
20	4157
20	4309
20	3548
20	1444
20	7572
20	3585
21	10014
22	1222
23	9798
24	3099
24	4914
25	5218
25	8321
25	1668
25	918
25	4301
25	3861
25	1319
25	9562
26	9366
26	10918
27	7729
28	2630
29	7273
30	642
31	6365
32	6683
32	3833
32	1173
32	9470
32	3909
32	1057
33	763
34	5399
35	9126
36	7568
36	10880
36	7636
37	2785
38	1654
38	5728
38	922
38	1139
38	7169
38	11258
38	3929
38	3691
38	10100
38	2122
39	4579
40	4602
40	9576
40	359
40	4322
40	707
41	103
42	630
42	10973
43	2880
44	5716
44	7210
44	676
44	3848
45	9734
45	8197
45	6667
45	6030
46	5599
46	5113
47	9297
48	1271
49	1443
49	7134
49	4241
49	830
49	9684
50	2640
51	8257
52	7815
52	7329
52	8562
53	10692
54	7449
55	9526
56	3231
57	1477
58	9480
58	10103
58	6834
59	1878
59	9669
59	2196
59	11254
59	2063
59	6675
59	9002
59	8465
60	861
61	4617
62	3601
63	10242
63	1426
63	3288
63	9602
63	4535
63	1045
63	5534
63	491
63	9416
63	5266
64	8081
65	786
65	2598
66	4579
67	6188
67	191
67	5987
67	7559
68	7807
69	9550
69	8571
70	3297
71	8212
72	7227
72	1371
72	1550
72	2873
72	5309
72	4352
73	7897
73	5775
73	7269
73	2952
73	8541
73	11245
74	9663
74	2122
74	2799
75	10572
75	10156
75	9950
75	8443
75	3500
76	3677
77	3380
77	5503
77	1628
78	2225
79	1773
80	842
81	9513
82	134
83	10119
83	9228
84	3397
85	2900
85	6891
86	10087
87	5397
87	10954
87	567
88	1688
88	2380
89	4846
90	1722
91	2767
91	2989
92	506
93	264
94	5684
95	4944
95	3018
95	5512
95	5585
96	7041
97	6860
97	402
97	198
98	2502
99	2064
99	10228
100	9781
100	11002
101	6642
102	970
103	1300
104	7377
105	10144
106	3771
106	11245
106	7434
106	3037
107	10158
108	4068
109	4612
110	9024
111	1662
112	9666
112	6446
112	9578
112	4982
113	3600
114	5423
115	8209
115	8997
115	9199
116	463
116	6750
116	10417
116	7419
116	7282
116	7358
116	946
116	9371
116	9537
116	9980
116	7937
116	947
116	10461
117	10746
118	3362
119	9035
119	2572
120	9829
121	8224
122	8405
123	2623
123	10319
123	4491
123	2697
123	9886
124	11092
124	2914
125	11128
125	10593
125	7843
126	11193
126	1367
126	5470
126	7567
126	8959
127	9213
128	9878
129	7114
130	2084
130	8537
130	4371
130	367
130	8875
130	6577
130	3951
130	4918
131	7519
131	8473
131	10884
131	6100
132	734
132	2106
132	2640
133	10882
134	7310
135	11479
135	6072
135	7993
135	736
135	6906
135	4934
136	1591
136	1686
136	5250
137	1235
137	4653
137	9392
138	8559
138	57
139	11300
139	7565
140	9955
141	1295
141	4456
141	4050
142	9887
142	4405
143	9701
144	4182
144	10881
145	1281
146	4583
147	9808
147	1815
148	11508
149	2953
149	183
150	11176
151	3007
152	1675
153	7001
154	6912
155	10284
155	2799
156	4008
156	4079
156	3788
156	6479
156	4273
156	4063
157	8428
157	2191
157	1080
157	3190
157	10752
157	6079
157	9124
158	1478
158	3859
158	9711
159	460
160	1281
160	3817
160	11449
161	9955
161	1664
161	4232
161	2268
161	10422
161	2978
161	1077
161	4293
162	8665
163	4996
163	11508
163	7552
163	11062
163	564
163	4479
163	7048
163	4705
163	1661
163	5611
163	3785
163	8562
163	10434
163	237
163	9114
163	6365
163	11342
163	9730
163	2656
164	4072
164	9641
164	9009
164	4797
164	3121
164	9877
164	7247
164	5643
164	7738
165	4103
165	5834
166	5694
167	8669
168	8070
169	7847
170	10062
