242|0.500927807774 0.431201499575 0.618447546542 0.609580888948 0.715050248375 0.908225680886 0.942013821984 0.384868475979 1.08103409049 0.940225467472
286|1.03041031592 1.25159024823 0.949598382357 1.36477700014 0.987223231922 1.14354989746 1.10407172303 1.01543471971 1.09651617072 1.12714915217
269|0.783605978284 1.13155773665 1.3031585937 0.952792542453 0.96121494422 0.577023252512 0.890960198376 1.35303130531 0.955294736155 0.566847969269
306|0.354585543625 0.22616169063 0.958036605118 0.528864018722 1.11887232774 1.21827864861 0.983054613104 0.94063407045 0.565006956924 0.598683075302
340|0.517260956664 0.934472138668 0.868671358988 0.701670998469 0.752025718233 1.24170396292 0.922578623236 1.22437299423 0.44336798538 1.10760628013
1022|0.450559353181 0.227321469456 0.562100337298 0.675665868725 0.400137212271 0.204168459818 0.172109475773 0.149911289896 0.622078106287 0.719560937653
251|0.285888012744 0.205880098651 0.896087655946 0.844720728929 0.938738269649 0.243301904689 0.419296190549 0.647241860989 0.604876944456 0.2300163658
257|1.01505743784 0.604901992947 0.839681088406 0.948241644032 0.281532002363 0.852778164026 0.9668876518 0.887691484735 0.667696880459 1.13502343025
1007|0.786928699162 -0.0411748766509 0.676965385602 0.426595039802 0.652730328885 0.578212554009 0.661123266459 0.511783388257 0.223968435393 0.269853515707
1241|0.785727598402 0.063510148942 0.69067945808 0.0587822919459 0.62183139236 0.402338204852 0.802922038571 0.639406954665 0.249348906078 0.0220777445381
428|0.720173263179 0.523779240226 0.322584317494 0.937379650418 0.898348121953 0.772455471041 0.561818978179 1.10875028918 0.459854605411 0.822452062058
381|0.491076015333 0.695915767661 0.723350599432 0.747922539338 0.59975182822 0.859910233715 0.50778082989 0.660632292518 0.676428171219 0.798024577278
202|1.09789064302 0.824689072653 0.562783945405 0.719426350745 1.23638500473 1.31777637478 0.835247191764 0.843991237796 1.10833055178 0.705427700678
8|0.763359552811 0.745174791613 1.08399389156 0.927725228403 0.653276202566 1.1793726804 1.08379888202 0.422258667401 0.787736072906 0.76662798936
116|0.582355980992 0.554900142961 0.538463753288 0.701207476456 0.645317885996 1.02266256315 0.897662378833 1.22003623874 0.545761892701 0.946581358042
285|1.26315146126 1.05351413207 0.49957326617 1.22730800673 0.662860214154 0.893105867821 0.529899773371 0.640001495453 0.570219528465 1.2758139083
655|0.501331308364 1.21745049584 0.7602797597 1.27484947447 0.5091239656 0.707461405743 0.695015164445 1.01589362053 1.20211762783 0.870137869286
111|0.849768759049 0.619102973143 0.507167320035 0.538908710587 0.790734813026 1.14654135076 1.12883905988 0.543538759377 1.2261979879 0.870546692958
238|0.516847757992 1.13084922152 1.17137590839 1.22286430309 0.628706776874 1.11528465591 0.661664503735 0.857361822534 0.693583210498 1.03507310587
153|0.541011474828 0.718613750568 0.908259974959 0.981240566473 1.19823561475 0.939626027108 0.986551923847 0.548894587045 1.02041830027 0.895116487392
173|1.47422542259 0.9364221934 1.31709132657 1.18703767553 0.682592535066 0.815483417753 1.22240958373 0.637836915458 0.679343071358 1.25659717877
70|1.31295064445 0.735912520444 0.977654421043 0.538754017881 1.01874386002 0.776320236767 1.27766158852 0.636385996852 0.730748201951 0.894360346992
382|1.00329027069 0.653088966244 0.442630114675 1.20297832222 0.486021515063 1.13180439408 0.573325972519 1.16929647668 0.307832099671 0.589136775158
393|0.728427275405 1.0946620672 0.414141694862 1.26737898381 0.653991088958 0.809155547987 0.916278824639 0.608090739934 0.850857723954 0.469258300886
287|0.524544148831 0.361843747635 0.706955637434 0.357057547686 0.321561644798 0.365571176797 0.888270751813 0.901219115673 0.754145787291 1.02012096919
663|0.936017672291 0.787621054322 1.11337923502 0.694601635991 0.793423361084 0.998299550528 0.486614682496 0.432524208828 0.453902707647 0.410827054596
66|0.883094494961 0.715618642955 0.664583371747 0.630371302548 0.993231387167 0.778051534413 0.382395291049 0.689726256925 0.842131034273 0.295528506509
