196|0.936571141418 0.304805438264 0.516476931017 0.880290589811 0.303390925339 0.45574143705 0.444490186834 0.401300529817 0.361571794433 0.838677897764
186|0.464429882092 0.346668755146 0.373651648394 0.0991798554779 0.767991443968 0.652275621274 0.0251204966773 0.656556227394 0.799913949779 0.229551879681
22|0.217636841959 0.556845843353 0.775468959885 0.542337370734 0.837122806871 0.83668215408 0.181163189348 0.391020693347 0.0760692901067 0.260399601472
244|0.319038541893 1.24671958465 0.107605694661 0.458809506966 0.94234567768 0.718108153537 1.01209958612 0.527874581709 0.298291932096 0.233239827881
166|0.0727796692683 0.591989569515 0.618000366466 0.164463275872 0.192755465808 0.103632529047 0.394451457656 0.801284669026 0.761842416325 0.0746423912232
298|0.885399389924 0.115441916369 0.857348773049 0.404945211941 0.712643240893 0.408358600505 0.715903380374 0.396499619732 0.53168447827 0.887927140474
115|0.722616385514 0.18114900821 0.79086122914 0.987476406053 0.468279529194 0.705076216496 0.706713304633 0.801079149738 0.668468501852 0.266812233489
253|0.192164198638 0.569382334145 0.884019928153 0.704306400384 0.299682602247 0.598468852383 0.305891397619 0.451412148726 0.83222295416 0.597441772317
305|0.407968964519 0.102796040825 0.612542496136 1.02949461757 0.270563528693 0.673533967971 0.721874509565 0.352123653721 0.461533880034 0.696989434132
6|0.504259040857 0.174164124745 0.751288102063 0.30641710896 0.276786504488 0.784533995204 0.920646537879 1.02447121353 0.614025273169 0.576654307859
62|0.406002427401 0.272601962903 0.623422799098 1.14325611585 0.304195304139 0.841787836646 0.909427277082 0.853827846133 0.716151232151 0.294360322588
286|0.980338341085 0.372972473634 0.501261709312 0.234908384466 0.877313540004 0.388422588509 0.695360876418 0.942960376406 0.817226529254 0.677732544461
200|0.393585405022 0.281390541278 0.366486640376 0.687994893523 0.862981470583 0.82104754966 0.106759431586 1.21856751792 0.614510205992 0.326664274532
210|0.384157458487 0.274193900017 0.969915207133 0.455005721012 0.69389528966 0.876277958542 0.53947849347 0.447988296051 0.290081937122 0.438478136977
224|0.892923564909 0.341142736938 0.801833554624 0.277956290817 0.0505761301194 0.205383751246 0.624555490713 0.424533065229 0.734465493887 0.788872122969
303|0.594875760068 0.985465516943 0.399168837354 0.346916880463 0.453759007081 0.47412767537 0.418077597075 1.4783149784 0.931453578084 0.460518740067
122|0.738739947447 0.869507286286 0.694102529104 0.469099710342 0.684432507762 0.459164390337 0.266739949982 0.874986126185 0.699525419694 0.578067738922
194|0.979575535874 0.454915726753 0.464631041695 0.702539967019 0.675227664931 0.708373920003 1.00726087398 0.506182823877 0.538193851045 0.0763452073057
291|0.328925952601 0.736266367227 0.727253197079 1.04351437236 0.0958018895714 0.352832990318 0.394017408103 1.04985474427 0.14605726838 0.302443377848
234|0.874592377846 1.37590067485 0.737041350395 0.505914615928 0.225757129896 0.22864256447 0.394670467012 0.919476100236 1.18476725949 1.02337175185
119|0.581025130014 0.788482598406 0.54044342315 0.832497504858 0.468199102836 0.573844059147 0.287091036971 0.283831457944 0.85396228626 0.888087683749
167|0.0777330409621 0.434139937751 0.134726262648 0.237653870472 0.550463205409 0.306976355427 0.888836761709 0.877184055231 0.0651004866585 0.687414519729
299|0.771543422165 0.41687834406 0.51868453564 0.789168833495 0.653417757918 0.646077252514 0.542214417346 0.424951451268 0.867077408586 0.107816266946
308|0.225499256093 0.842614236443 0.73586619378 0.89860477599 0.970753050134 0.677228729828 0.674445840919 0.894367291939 1.09142391007 0.403650750644
95|0.230565450005 0.580894373879 0.964210792927 0.700270433544 0.468131244223 0.969169698274 0.7436180475 0.882417340608 0.720599938917 0.355798057426
38|0.908932191483 0.537058431929 0.414662923451 0.255235268427 0.754105918139 0.308556116031 0.175626866429 0.976179977426 0.903716234334 0.27049434921
102|1.10404064396 0.649882091465 0.720155532832 0.981179811764 0.945053657083 0.453538176657 0.619941214465 0.256980830586 0.138475603361 0.240862835458
63|0.477696558898 0.484338694172 0.862300175075 0.281775001913 0.721653579111 0.239845850289 0.796759558389 0.795603736204 0.602023237676 0.676893948092
160|0.542229204248 0.983543516561 0.130617906823 0.777730045659 0.726213554784 0.302414867267 0.627344303877 0.316202562132 0.888087978685 0.586365511786
50|0.844646704998 0.502050665447 0.433509862013 0.323512330383 0.780309594983 0.593292680876 0.635418049699 0.294515448303 0.556817288731 0.690221938866
301|0.659030497726 0.275390913398 0.827925077258 0.97347664047 0.388024276511 0.872797373187 0.860357451799 0.434564908091 0.588637132781 0.637291485786
225|0.112778168645 0.424352935749 0.810768346623 0.581168512946 0.635877130123 0.64645039934 0.870781533521 0.387693789684 0.354698877608 0.711032876694
290|1.01862055567 0.455590905065 0.780916588918 0.364318655585 0.647821961795 0.398025960054 0.408925056894 0.2892463103 0.296156720087 0.807845746458
97|1.06621785384 0.0755650673401 0.752363897217 0.361340153486 0.948590818182 0.799088441335 0.153038607911 0.760897905601 0.314510535911 0.465249588689
157|0.784400490552 0.497130194142 0.38679555362 0.623373253568 0.252544891502 0.696823966363 0.687754349491 0.423146670194 0.308340973342 0.145128279063
181|0.145850623127 0.493735848405 0.0835243562906 -0.226015055523 0.139474935571 -0.392653594975 0.175447843283 0.402625690569 0.201471553715 -0.0125527713199
278|0.263338003662 0.574914802494 0.239417458318 0.44902080803 0.671972130522 0.325128953555 0.131006713626 0.592153365001 0.857466665213 0.801213898911
276|1.2264322026 0.48332508332 0.0124294286995 0.959788258416 0.642295845362 0.798048885207 0.622294573992 0.497255052005 0.443244028645 0.659295240484
7|0.801920203051 0.334437251162 0.126691123751 0.773592070806 0.909797645476 0.576949531487 0.930254121564 0.586999012068 0.4181336468 0.972071606811
10|1.07071388425 0.161402940494 0.282589041502 0.890067130573 0.869921427628 0.114190276742 0.308897306672 0.592618350882 0.825960658404 0.254332025582
